"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Host Connected","End Of File"
1,1/9/22 11:47:23 AM,80.096,,
2,1/9/22 11:47:53 AM,80.008,,
3,1/9/22 11:48:23 AM,79.964,,
4,1/9/22 11:48:53 AM,79.920,,
5,1/9/22 11:49:23 AM,80.052,,
6,1/9/22 11:49:53 AM,79.964,,
7,1/9/22 11:50:23 AM,79.920,,
8,1/9/22 11:50:53 AM,79.876,,
9,1/9/22 11:51:23 AM,79.876,,
10,1/9/22 11:51:53 AM,79.920,,
11,1/9/22 11:52:23 AM,79.788,,
12,1/9/22 11:52:53 AM,79.744,,
13,1/9/22 11:53:23 AM,79.744,,
14,1/9/22 11:53:53 AM,79.744,,
15,1/9/22 11:54:23 AM,79.832,,
16,1/9/22 11:54:53 AM,79.832,,
17,1/9/22 11:55:23 AM,79.788,,
18,1/9/22 11:55:53 AM,79.832,,
19,1/9/22 11:56:23 AM,79.788,,
20,1/9/22 11:56:53 AM,79.876,,
21,1/9/22 11:57:23 AM,80.052,,
22,1/9/22 11:57:53 AM,80.801,,
23,1/9/22 11:58:23 AM,80.978,,
24,1/9/22 11:58:53 AM,81.067,,
25,1/9/22 11:59:23 AM,81.111,,
26,1/9/22 11:59:53 AM,81.111,,
27,1/9/22 12:00:23 PM,81.111,,
28,1/9/22 12:00:53 PM,81.111,,
29,1/9/22 12:01:23 PM,81.199,,
30,1/9/22 12:01:53 PM,81.199,,
31,1/9/22 12:02:23 PM,81.199,,
32,1/9/22 12:02:53 PM,81.199,,
33,1/9/22 12:03:23 PM,81.155,,
34,1/9/22 12:03:53 PM,81.155,,
35,1/9/22 12:04:23 PM,81.155,,
36,1/9/22 12:04:53 PM,81.199,,
37,1/9/22 12:05:23 PM,81.199,,
38,1/9/22 12:05:53 PM,81.244,,
39,1/9/22 12:06:23 PM,81.288,,
40,1/9/22 12:06:53 PM,81.288,,
41,1/9/22 12:07:23 PM,81.288,,
42,1/9/22 12:07:53 PM,81.288,,
43,1/9/22 12:08:23 PM,81.288,,
44,1/9/22 12:08:53 PM,81.332,,
45,1/9/22 12:09:23 PM,81.332,,
46,1/9/22 12:09:53 PM,81.376,,
47,1/9/22 12:10:23 PM,81.376,,
48,1/9/22 12:10:53 PM,81.332,,
49,1/9/22 12:11:23 PM,81.332,,
50,1/9/22 12:11:53 PM,81.332,,
51,1/9/22 12:12:23 PM,81.376,,
52,1/9/22 12:12:53 PM,81.332,,
53,1/9/22 12:13:23 PM,81.376,,
54,1/9/22 12:13:53 PM,81.376,,
55,1/9/22 12:14:23 PM,81.421,,
56,1/9/22 12:14:53 PM,81.376,,
57,1/9/22 12:15:23 PM,81.376,,
58,1/9/22 12:15:53 PM,81.376,,
59,1/9/22 12:16:23 PM,81.376,,
60,1/9/22 12:16:53 PM,81.421,,
61,1/9/22 12:17:23 PM,81.465,,
62,1/9/22 12:17:53 PM,81.509,,
63,1/9/22 12:18:23 PM,81.554,,
64,1/9/22 12:18:53 PM,81.554,,
65,1/9/22 12:19:23 PM,81.598,,
66,1/9/22 12:19:53 PM,81.598,,
67,1/9/22 12:20:23 PM,81.642,,
68,1/9/22 12:20:53 PM,81.686,,
69,1/9/22 12:21:23 PM,81.686,,
70,1/9/22 12:21:53 PM,81.642,,
71,1/9/22 12:22:23 PM,81.598,,
72,1/9/22 12:22:53 PM,81.598,,
73,1/9/22 12:23:23 PM,81.642,,
74,1/9/22 12:23:53 PM,81.686,,
75,1/9/22 12:24:23 PM,81.686,,
76,1/9/22 12:24:53 PM,81.598,,
77,1/9/22 12:25:23 PM,81.554,,
78,1/9/22 12:25:53 PM,81.598,,
79,1/9/22 12:26:23 PM,81.598,,
80,1/9/22 12:26:53 PM,81.642,,
81,1/9/22 12:27:23 PM,81.686,,
82,1/9/22 12:27:53 PM,81.731,,
83,1/9/22 12:28:23 PM,81.731,,
84,1/9/22 12:28:53 PM,81.819,,
85,1/9/22 12:29:23 PM,81.819,,
86,1/9/22 12:29:53 PM,81.775,,
87,1/9/22 12:30:23 PM,81.686,,
88,1/9/22 12:30:53 PM,81.731,,
89,1/9/22 12:31:23 PM,81.731,,
90,1/9/22 12:31:53 PM,81.775,,
91,1/9/22 12:32:23 PM,81.864,,
92,1/9/22 12:32:53 PM,81.908,,
93,1/9/22 12:33:23 PM,81.908,,
94,1/9/22 12:33:53 PM,81.864,,
95,1/9/22 12:34:23 PM,81.775,,
96,1/9/22 12:34:53 PM,81.819,,
97,1/9/22 12:35:23 PM,81.819,,
98,1/9/22 12:35:53 PM,81.819,,
99,1/9/22 12:36:23 PM,81.819,,
100,1/9/22 12:36:53 PM,81.775,,
101,1/9/22 12:37:23 PM,81.731,,
102,1/9/22 12:37:53 PM,81.686,,
103,1/9/22 12:38:23 PM,81.731,,
104,1/9/22 12:38:53 PM,81.686,,
105,1/9/22 12:39:23 PM,81.731,,
106,1/9/22 12:39:53 PM,81.775,,
107,1/9/22 12:40:23 PM,81.775,,
108,1/9/22 12:40:53 PM,81.731,,
109,1/9/22 12:41:23 PM,81.686,,
110,1/9/22 12:41:53 PM,81.686,,
111,1/9/22 12:42:23 PM,81.686,,
112,1/9/22 12:42:53 PM,81.731,,
113,1/9/22 12:43:23 PM,81.731,,
